X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
-8864671.39185453,5426462.03207667,89,00000960,8001,Albion Rd w/of Claireport Cres (E),,43.747578,-79.632698,,,0,,,0
-8864275.65106476,5426527.8322428,90,00000970,8002,Albion Rd at Steinway Blvd,,43.748005,-79.629143,,,0,,,0
-8863495.96935124,5426222.72067637,91,00000980,8003,Humberline Dr n/of Claireville Dr (N),,43.746025,-79.622139,,,0,,,1
-8864738.51750748,5424274.25118849,92,00001090,6000,Longo Circle - Zum Steeles Stop,,43.733379,-79.633301,,,0,,,1
-8865161.420253,5424654.02099405,93,00001100,6001,Finch Ave n/of Longo Circle,,43.735844,-79.637100,,,0,,,1
-8865962.36398926,5425225.32282968,94,00001110,1099,Kenview Blvd w/of Finch Ave,,43.739552,-79.644295,,,0,,,1
-8866101.62467224,5425062.46430538,95,00001115,3670,Kenview Blvd w/of Parkshore Dr,,43.738495,-79.645546,,,0,,,1
-8866473.65441047,5425005.45679739,96,00001120,1100,Kenview Blvd at 26 Kenview Blvd,,43.738125,-79.648888,,,0,,,1
-8866733.47410198,5424614.57967016,97,00001130,1101,Kenview Blvd at 14 Kenview Blvd,,43.735588,-79.651222,,,0,,,1
-8866778.55849576,5424413.52397944,98,00001140,1102,Kenview Blvd at Paget Rd,,43.734283,-79.651627,,,0,,,1
-8867060.53076593,5423852.28595372,99,00001150,1103,Kenview Blvd at Goreway Dr,,43.730640,-79.654160,,,0,,,1
-8867217.60256744,5423976.91697764,100,00001160,1104,Goreway Dr btwn Kenview Blvd and Steeles Ave E,,43.731449,-79.655571,,,0,,,1
-8867423.09834745,5424194.44759425,101,00001170,1105,Goreway Dr at Steeles Ave E,,43.732861,-79.657417,,,0,,,1
-8868313.20899583,5423318.81025019,102,00001180,1106,Steeles Ave E at Parkhurst Sq,,43.727177,-79.665413,,,0,,,1
-8870265.75286434,5420942.65307847,103,00001230,1111,Steeles Ave E w/of Melanie Dr (E),,43.711750,-79.682953,,,0,,,1
-8870485.72017815,5420674.22443943,104,00001235,1112,Steeles Ave E w/of Melanie Dr (W),,43.710007,-79.684929,,,0,,,1
-8870748.10021796,5420355.1387025,105,00001237,3665,Steeles Ave w/of Melanie Dr,,43.707935,-79.687286,,,0,,,1
-8871374.04971469,5419581.49398338,106,00001250,1114,Steeles Ave E at Bramalea GO Station,,43.702911,-79.692909,,,0,,,1
-8871921.85292888,5418856.72285264,107,00001260,1115,Steeles Ave w/of Advance Blvd,,43.698204,-79.697830,,,0,,,1
-8872623.38835986,5418018.54140734,108,00001280,1117,Steeles Ave E btwn Dixie Rd & West Dr,,43.692760,-79.704132,,,0,,,1
-8873130.44864042,5417379.02503835,109,00001300,1119,Steeles Ave btwn Hwy 410 and West Drive,,43.688606,-79.708687,,,0,,,0
-8874388.24756689,5415808.90309552,110,00001315,1121,Steeles Ave E e/of Resolution Dr,,43.678406,-79.719986,,,0,,,1
-8874665.98969642,5415457.81724811,111,00001320,1122,Steeles Ave e/of Kennedy Rd,,43.676125,-79.722481,,,0,,,1
-8874974.23336643,5415057.9558052,112,00001340,1124,Steeles Ave E at Orchard Dr,,43.673527,-79.725250,,,0,,,1
-8883434.95994468,5417499.41207312,113,00001345,1125,Fletchers Creek Blvd at Gold Hill Rd,,43.689388,-79.801254,,,0,,,1
-8875291.04863722,5414656.4187587,114,00001350,1126,Steeles Ave E at 152 Steeles Ave,,43.670918,-79.728096,,,0,,,1
-8875766.60550189,5414063.45633799,115,00001360,1127,Steeles Ave e/of Main St,,43.667065,-79.732368,,,0,,,1
-8877376.06269978,5412039.54506822,116,00001430,1130,Steeles Ave W at Tait Blvd,,43.653912,-79.746826,,,0,,,1
-8877972.28989247,5411300.59634882,117,00001440,1131,Steeles Ave W at Beaconsfield walkway,,43.649109,-79.752182,,,0,,,1
-8878191.36665036,5411031.21708319,118,00001450,1132,Steeles Ave W at Chinguacousy Rd,,43.647358,-79.754150,,,0,,,1
-8878596.56959684,5410508.94213538,119,00001460,1133,Steeles Ave W w/of James Potter Dr,,43.643963,-79.757790,,,0,,,1
-8878841.13851812,5410219.58836885,120,00001465,1134,Steeles Ave W at Polonia Ave,,43.642082,-79.759987,,,0,,,1
-8879039.06457275,5409954.39383029,121,00001470,1135,Steeles Ave at Churchville Rd,,43.640358,-79.761765,,,0,,,1
-8879863.71936054,5408937.52637233,122,00001490,1137,Steeles Ave W e/of Financial Dr,,43.633747,-79.769173,,,0,,,1
-8880105.72793352,5408632.99549199,123,00001500,1138,Financial - Zum Steeles Station Stop WB,,43.631767,-79.771347,,,0,,,1
-8880721.4360371,5407873.86521795,124,00001508,3690,Mississauga Road - Zum Steeles Station Stop WB,,43.626831,-79.776878,,,0,,,1
-8880572.04528046,5407867.40611113,125,00001510,1139,Mississauga Rd s/of Steeles Ave,,43.626789,-79.775536,,,0,,,1
-8880072.55472527,5407351.76864475,126,00001520,1140,Mississauga Rd n/of Edgeware Rd,,43.623436,-79.771049,,,0,,,1
-8879797.48426352,5406907.66375161,127,00001530,1141,Hereford St w/of Mississauga Rd,,43.620548,-79.768578,,,0,,,1
-8879673.47435078,5406595.05007466,128,00001540,1142,Hereford St s/of Ironbridge Rd,,43.618515,-79.767464,,,0,,,1
-8879760.08091462,5406380.39377895,129,00001550,1143,Hereford St w/of President's Choice Cir (Loblaws),,43.617119,-79.768242,,,0,,,1
-8880152.48211966,5406140.52587743,130,00001560,1144,Hereford St btwn President's Choice Cir & Edgeware,,43.615559,-79.771767,,,0,,,1
-8880682.36289584,5406672.54898752,131,00001570,1145,Hereford St n/of Edgeware Rd,,43.619019,-79.776527,,,0,,,1
-8880907.45090622,5406901.82040837,132,00001575,3622,Hereford St btwn Edgeware Rd & Steeles Ave,,43.620510,-79.778549,,,0,,,0
-8874372.10624073,5422247.0224695,133,00001640,1148,Kensington Rd e/of Central Park Dr,,43.720219,-79.719841,,,0,,,1
-8874254.88681692,5422392.11781259,134,00001650,1149,Kensington Rd at Kingscross Rd,,43.721161,-79.718788,,,0,,,1
-8874086.79438583,5422527.2033196,135,00001660,1150,Kensington Rd opp Bramalea Medical Centre,,43.722038,-79.717278,,,0,,,1
-8873937.29230969,5422648.27365273,136,00001670,1151,Kensington Rd at Bramalea Rd,,43.722824,-79.715935,,,0,,,1
-8873728.34562547,5422489.00334058,137,00001680,1152,Bramalea Rd at Knightsbridge Rd - Rte 12 ONLY,,43.721790,-79.714058,,,0,,,1
-8873183.10275956,5423178.32163524,138,00001720,1153,Finchgate Blvd at Feston Place,,43.726265,-79.709160,,,0,,,1
-8873527.07998612,5423375.19115106,139,00001730,1154,Finchgate Blvd at Queen St E,,43.727543,-79.712250,,,0,,,1
-8873781.89030054,5423625.52034954,140,00001740,1155,Glenvale Blvd s/of Gatwick Lane,,43.729168,-79.714539,,,0,,,1
-8873909.23979801,5423844.73728076,141,00001750,1156,Glenvale Blvd n/of Greenmount Rd,,43.730591,-79.715683,,,0,,,1
-8874013.65748038,5424207.85085239,142,00001760,1157,Glenvale Blvd at Geraldine Crt,,43.732948,-79.716621,,,0,,,1
-8874200.56290541,5424365.918331,143,00001770,1158,Central Park Dr btwn Glenvale Blvd and Graham Crt,,43.733974,-79.718300,,,0,,,1
-8874490.99545689,5424254.37725588,144,00001780,1159,Grenoble Blvd n/of Central Park Dr,,43.733250,-79.720909,,,0,,,1
-8874563.24180642,5424475.92010423,145,00001790,1160,Grenoble Blvd at Glencastle Square,,43.734688,-79.721558,,,0,,,1
-8874561.46069457,5424704.55543671,146,00001800,1161,Grenoble Blvd at Gladstone Square,,43.736172,-79.721542,,,0,,,1
-8874701.61193348,5424897.29757477,147,00001810,1162,Grenoble Blvd at Greenbrair Rd,,43.737423,-79.722801,,,0,,,1
-8874938.61112938,5425063.69690403,148,00001815,1163,Grenoble Blvd at Williams Pky E,,43.738503,-79.724930,,,0,,,1
-8875380.21554935,5425614.99316301,149,00001840,1165,Jordan Blvd at Joshua Crt,,43.742081,-79.728897,,,0,,,1
-8875516.91588405,5425874.16617658,150,00001850,1166,Jordan Blvd at Jameson Cres,,43.743763,-79.730125,,,0,,,1
-8875679.99893806,5425980.02550075,151,00001860,1167,Jordan Blvd at North Park Dr,,43.744450,-79.731590,,,0,,,1
-8875492.31427658,5426278.50294622,152,00001870,1168,North Park Dr at Jayfield Rd,,43.746387,-79.729904,,,0,,,1
-8875234.16437743,5426571.2883476,153,00001880,1169,North Park Dr opp Panda Lane,,43.748287,-79.727585,,,0,,,1
-8875554.31923295,5427139.78086047,154,00001890,1170,Torbram Rd at Blue Diamond Dr,,43.751976,-79.730461,,,0,,,1
-8876017.18567567,5427622.46451929,155,00001910,1172,Torbram Rd n/of Bovaird Dr E,,43.755108,-79.734619,,,0,,,1
-8876211.66082609,5427812.95582705,156,00001920,1173,Torbram Rd s/of Peter Robertson Blvd,,43.756344,-79.736366,,,0,,,1
-8876594.71119391,5428200.42358919,157,00001930,1174,Torbram Rd n/of Peter Robertson Blvd,,43.758858,-79.739807,,,0,,,1
-8876835.04997453,5428449.65071729,158,00001935,1175,Torbram Rd btwn Peter Robertson Blvd & Steeplebush,,43.760475,-79.741966,,,0,,,1
-8876968.4107245,5428595.46018737,159,00001940,1176,Torbram Rd at Eagleridge Rd,,43.761421,-79.743164,,,0,,,1
-8877233.35111259,5428863.65698782,160,00001945,1177,Torbram Rd btwn Eagleridge Dr & Sandalwood Pky E,,43.763161,-79.745544,,,0,,,1
-8875479.62385463,5428548.44948272,161,00002005,1181,Mountainberry Rd at Mount Ranier Cres,,43.761116,-79.729790,,,0,,,0
-8875172.15942106,5428633.06892366,162,00002010,1182,Mountainberry Rd w/of Mount Rainer Cres (W),,43.761665,-79.727028,,,0,,,1
-8875030.33838979,5428900.65026212,163,00002020,1183,Mountainberry Rd e/of Mount Rainer Cres (E),,43.763401,-79.725754,,,0,,,1
-8875167.92928041,5429112.28547194,164,00002030,1184,Mountainberry Rd at Snow Leopard Crt (S),,43.764774,-79.726990,,,0,,,0
-8875346.26310466,5429341.03576418,165,00002040,1185,Mountainberry Rd n/of Black Hills Crt,,43.766258,-79.728592,,,0,,,1
-8875652.83698231,5429309.28167821,166,00002050,1186,Mountainberry Rd w/of Snow Leopard Crt (N),,43.766052,-79.731346,,,0,,,1
-8875826.9406659,5429130.0118753,167,00002060,1187,Mountainberry Rd at Cougar Crt,,43.764889,-79.732910,,,0,,,1
-8876015.51588331,5429036.44767882,168,00002070,1188,Mountainash Rd at Mountainberry Rd,,43.764282,-79.734604,,,0,,,1
-8875576.36049213,5428021.02121731,169,00002110,1192,Bovaird Dr E w/of Mountainash Rd,,43.757694,-79.730659,,,0,,,1
-8876056.25881694,5427604.27866168,170,00002120,1193,Torbram Rd at Bovaird Dr E,,43.754990,-79.734970,,,0,,,1
-8875858.33276231,5427401.46254406,171,00002125,1194,Torbram Rd s/of Bovaird Dr E,,43.753674,-79.733192,,,0,,,1
-8875624.00523419,5427160.89388938,172,00002130,1195,Torbram Rd at Prospect Gate,,43.752113,-79.731087,,,0,,,1
-8875224.81354021,5426751.12483039,173,00002140,1196,Torbram Rd at North Park Dr,,43.749454,-79.727501,,,0,,,1
-8875261.32633319,5426580.68845394,174,00002150,1197,North Park Dr at Panda Lane,,43.748348,-79.727829,,,0,,,1
-8875471.94280977,5426345.07228434,175,00002160,1198,North Park Dr at Provincial Place,,43.746819,-79.729721,,,0,,,1
-8875648.60684166,5426142.12976071,176,00002165,1199,North Park Dr btwn Provincial Pl & Jamieson Cres,,43.745502,-79.731308,,,0,,,1
-8875696.14026422,5425960.61016256,177,00002170,1200,Jordan Blvd at North Park Dr,,43.744324,-79.731735,,,0,,,1
-8875457.47127596,5425753.66985075,178,00002180,1201,Jordan Blvd at Joyce Gate,,43.742981,-79.729591,,,0,,,1
-8875231.60402915,5425322.85442928,179,00002190,1202,Jordan Blvd at Jefferson Rd,,43.740185,-79.727562,,,0,,,1
-8874749.14535604,5424901.91973784,180,00002210,1204,Grenoble Blvd at Glenforest Rd,,43.737453,-79.723228,,,0,,,1
-8874580.16236902,5424629.83234964,181,00002220,1205,Grenoble Blvd at Grasspoint Square,,43.735687,-79.721710,,,0,,,1
-8874551.33062091,5424314.30730679,182,00002230,1206,Grenoble Blvd n/of Central park Dr,,43.733639,-79.721451,,,0,,,1
-8874260.0075135,5424301.9823288,183,00002240,1207,Central Park Dr e/of Greenarrow Crt,,43.733559,-79.718834,,,0,,,1
-8874023.89887353,5424110.94727514,184,00002250,1208,Glenvale Blvd s/of Geraldine Crt,,43.732319,-79.716713,,,0,,,1
-8873918.59063524,5423811.15346365,185,00002260,1209,Glenvale Blvd at Goldcrest Rd,,43.730373,-79.715767,,,0,,,1
-8873819.18232996,5423640.15518972,186,00002270,1210,Glenvale Blvd at Gatwick Rd,,43.729263,-79.714874,,,0,,,0
-8873583.96424591,5423390.44178181,187,00002280,1211,Finchgate Blvd s/of Queen St E,,43.727642,-79.712761,,,0,,,1
-8873158.5011521,5423144.89428639,188,00002290,1212,Finchgate Blvd n/of Clark Blvd,,43.726048,-79.708939,,,0,,,1
-8874049.39103692,5422581.26888277,189,00002350,1214,Kensington Rd w/of Bramalea Rd,,43.722389,-79.716942,,,0,,,1
-8874210.69297908,5422481.45578279,190,00002360,1215,Kensington Rd at Kingscross Rd,,43.721741,-79.718391,,,0,,,1
-8874359.41581878,5422310.48214779,191,00002370,1216,Kensington Rd at Central Park Dr,,43.720631,-79.719727,,,0,,,1
-8874159.81997179,5421905.08705324,192,00002390,1218,Central Park Dr at Knightsbridge Rd,,43.717999,-79.717934,,,0,,,1
-8874162.38032007,5421837.47159512,193,00002410,3540,Knightsbridge Rd w/of Central Park Drive,,43.717560,-79.717957,,,0,,,1
-8871254.26994259,5419988.01895258,194,00002430,1220,Bramalea Rd n/of Steeles Ave E,,43.705551,-79.691833,,,0,,,1
-8871443.73571592,5420172.50096157,195,00002450,1222,Bramalea Rd at East Dr,,43.706749,-79.693535,,,0,,,1
-8871627.19023675,5420362.83851801,196,00002460,1223,Bramalea Rd n/of East Dr,,43.707985,-79.695183,,,0,,,1
-8871848.82734292,5420452.77283883,197,00002470,1224,Avondale Blvd at Autumn Blvd,,43.708569,-79.697174,,,0,,,1
-8872024.60081888,5420239.48824623,198,00002475,1225,Avondale Blvd at Avondale Plaza,,43.707184,-79.698753,,,0,,,1
-8872208.05533971,5420115.52365376,199,00002490,1226,Avondale Blvd at Aloma Cres (E),,43.706379,-79.700401,,,0,,,0
-8872352.43671927,5419832.95220269,200,00002500,1227,Avondale Blvd w/of Aloma Cres (W),,43.704544,-79.701698,,,0,,,0
-8872522.31026222,5419791.83762247,201,00002510,1228,Avondale Blvd w/of Athlone Ave (S),,43.704277,-79.703224,,,0,,,0
-8874621.79585858,5420687.6225857,202,00002540,1230,Dixie Rd s/of Clark Blvd,,43.710094,-79.722084,,,0,,,1
-8874330.47275117,5420390.40391021,203,00002550,1231,Dixie Rd at Terese Rd,,43.708164,-79.719467,,,0,,,1
-8873847.23484164,5420144.93622009,204,00002560,1232,Balmoral Dr e/of Dixie Rd,,43.706570,-79.715126,,,0,,,1
-8873741.03604742,5420340.50907072,205,00002570,1233,Balmoral Dr at Braemar Dr,,43.707840,-79.714172,,,0,,,1
-8873570.38326804,5420533.16007958,206,00002580,1234,Balmoral Dr at Brookland Dr,,43.709091,-79.712639,,,0,,,1
-8873341.95567293,5420654.82026205,207,00002590,1235,Avondale Blvd s/of Balmoral Dr,,43.709881,-79.710587,,,0,,,1
-8873175.4217147,5420221.31693476,208,00002600,1236,Avondale Blvd at Brentwood Dr,,43.707066,-79.709091,,,0,,,1
-8872832.33504407,5419835.87796631,209,00002610,1237,Avondale Blvd at Birchbank Rd,,43.704563,-79.706009,,,0,,,1
-8872599.56598883,5419750.72322538,210,00002620,1238,Avondale Blvd at 135 Avondale Blvd,,43.704010,-79.703918,,,0,,,0
-8872282.86203752,5419898.08915968,211,00002630,1239,Avondale Blvd opp Aloma Cres (W),,43.704967,-79.701073,,,0,,,0
