X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon,CLEANED_STOP_NAME_,CLEANED_STOP_LAT_,CLEANED_STOP_LON_
-8875060.8399,5420033.6001,24,00000280,1029.0,Clark Blvd opp 185 Clark Blvd,,,,0,,,1,43.705847,-79.726028,Clark Blvd opp 185 Clark Blvd,43.705847,-79.726028
-8875192.8648,5419868.3694,25,00000290,1030.0,Clark Blvd at West Dr,,,,0,,,1,43.704774,-79.727214,Clark Blvd at West Dr,43.704774,-79.727214
-8875155.3502,5419733.3228,26,00000300,1031.0,West Dr s/of Clark Blvd,,,,0,,,1,43.703897,-79.726877,West Dr s/of Clark Blvd,43.703897,-79.726877
-8874889.074,5419632.6166,27,00000308,3667.0,West Dr at 60 West Dr,,,,0,,,1,43.703243,-79.724485,West Dr at 60 West Dr,43.703243,-79.724485
-8874555.8947,5419367.4596,28,00000310,1032.0,West Dr at Norpak Whse,,,,0,,,1,43.701521,-79.721492,West Dr at Norpak Whse,43.701521,-79.721492
-8874150.0239,5418998.6854,29,00000320,1033.0,West Dr s/of Orenda Rd,,,,0,,,1,43.699126,-79.717846,West Dr s/of Orenda Rd,43.699126,-79.717846
-8873694.7271,5418337.2385,30,00000330,1034.0,Glidden Rd w/of West Dr,,,,0,,,1,43.69483,-79.713756,Glidden Rd w/of West Dr,43.69483,-79.713756
-8873882.6344,5418151.7154,31,00000340,1035.0,Glidden Rd at Blair Dr,,,,0,,,1,43.693625,-79.715444,Glidden Rd at Blair Dr,43.693625,-79.715444
-8874197.0007,5417847.3425,32,00000350,1036.0,Glidden Rd at Heart Lake Rd,,,,0,,,1,43.691648,-79.718268,Glidden Rd at Heart Lake Rd,43.691648,-79.718268
-8874489.2143,5417558.6825,33,00000360,1037.0,Glidden Rd w/of Heart Lake Rd,,,,0,,,1,43.689773,-79.720893,Glidden Rd w/of Heart Lake Rd,43.689773,-79.720893
-8874720.9815,5417179.8203,34,00000365,4223.0,Hale Rd s/of Glidden Rd,,,,0,,,1,43.687312,-79.722975,Hale Rd s/of Glidden Rd,43.687312,-79.722975
-8874688.9215,5417362.8607,35,00000370,1038.0,Glidden Rd at Hale Rd,,,,0,,,1,43.688501,-79.722687,Glidden Rd at Hale Rd,43.688501,-79.722687
-8874527.7309,5416982.0053,36,00000371,3760.0,Hale Rd btwn Glidden Rd & Bramsteele Ave,,,,0,,,1,43.686027,-79.721239,Hale Rd btwn Glidden Rd & Bramsteele Ave,43.686027,-79.721239
-8874186.8706,5416699.5297,37,00000372,3761.0,Hale Rd n/of Bramsteele Ave,,,,0,,,0,43.684192,-79.718177,Hale Rd n/of Bramsteele Ave,43.684192,-79.718177
-8874222.1589,5416552.5227,38,00000373,3762.0,Bramsteele Ave e/of Rutherford Rd,,,,0,,,1,43.683237,-79.718494,Bramsteele Ave e/of Rutherford Rd,43.683237,-79.718494
-8874166.3878,5416197.8682,39,00000410,1043.0,Rutherford Rd S at Steeles Ave E,,,,0,,,1,43.680933,-79.717993,Rutherford Rd S at Steeles Ave E,43.680933,-79.717993
-8873930.8358,5415967.7504,40,00000420,1044.0,First Gulf Blvd n/of Biscayne Cres (N),,,,0,,,0,43.679438,-79.715877,First Gulf Blvd n/of Biscayne Cres (N),43.679438,-79.715877
-8873655.32,5415611.5792,41,00000430,1045.0,First Gulf Blvd at Biscayne Cres S,,,,0,,,0,43.677124,-79.713402,First Gulf Blvd at Biscayne Cres S,43.677124,-79.713402
-8873930.9471,5415205.093,42,00000440,1046.0,First Gulf Blvd btwn Biscayne Cres (S) and Kennedy,,,,0,,,1,43.674483,-79.715878,First Gulf Blvd btwn Biscayne Cres (S) and Kennedy,43.674483,-79.715878
-8881171.5007,5407164.3132,43,00000460,1047.0,Hereford St s/of Steeles Ave,,,,0,,,1,43.622217,-79.780921,Hereford St s/of Steeles Ave,43.622217,-79.780921
-8881734.2208,5406504.1742,44,00000461,3695.0,Heritage - Zum Steeles Station Stop EB,,,,0,,,1,43.617924,-79.785976,Heritage - Zum Steeles Station Stop EB,43.617924,-79.785976
-8881889.5115,5406390.3884,45,00000466,3692.0,Heritage - Zum Steeles Station Stop WB,,,,0,,,1,43.617184,-79.787371,Heritage - Zum Steeles Station Stop WB,43.617184,-79.787371
-8882954.505,5404793.5372,46,00000468,3693.0,Winston Churchill - Zum Steeles Station Stop WB,,,,0,,,1,43.606798,-79.796938,Winston Churchill - Zum Steeles Station Stop WB,43.606798,-79.796938
-8882954.3937,5404993.3976,47,00000469,3694.0,Winston Churchill - Zum Steeles Station Stop EB,,,,0,,,1,43.608098,-79.796937,Winston Churchill - Zum Steeles Station Stop EB,43.608098,-79.796937
-8880532.8608,5408025.9631,48,00000470,1048.0,Mississauga Road - Zum Steeles Station Stop EB,,,,0,,,1,43.62782,-79.775184,Mississauga Road - Zum Steeles Station Stop EB,43.62782,-79.775184
-8881732.3283,5403139.1667,49,00000475,6196.0,Argentia - Zum Steeles Stop WB,,,,0,,,1,43.596036,-79.785959,Argentia - Zum Steeles Stop WB,43.596036,-79.785959
-8881770.3996,5402984.6898,50,00000477,3712.0,Argentia - Zum Steeles Stop EB,,,,0,,,1,43.595031,-79.786301,Argentia - Zum Steeles Stop EB,43.595031,-79.786301
-8879066.8944,5409860.4085,51,00000510,1052.0,Steeles Ave W at Churchville Rd,,,,0,,,0,43.639747,-79.762015,Steeles Ave W at Churchville Rd,43.639747,-79.762015
-8878581.9867,5410466.1769,52,00000520,1053.0,Steeles Ave W at Clementine Dr,,,,0,,,0,43.643685,-79.757659,Steeles Ave W at Clementine Dr,43.643685,-79.757659
-8877857.6308,5411372.7501,53,00000530,1054.0,Steeles Ave W btwn Mavis Rd & Windmill Blvd,,,,0,,,1,43.649578,-79.751152,Steeles Ave W btwn Mavis Rd & Windmill Blvd,43.649578,-79.751152
-8878379.0513,5410711.849,54,00000535,3897.0,Steeles Ave btwn Clementine Dr and Mavis Rd,,,,0,,,1,43.645282,-79.755836,Steeles Ave btwn Clementine Dr and Mavis Rd,43.645282,-79.755836
-8878122.9052,5411028.2941,55,00000540,1055.0,Mavis - Zum Steeles Station Stop EB,,,,0,,,1,43.647339,-79.753535,Mavis - Zum Steeles Station Stop EB,43.647339,-79.753535
-8877397.77,5411940.4613,56,00000550,1056.0,Steeles Ave W at Windmill Blvd,,,,0,,,1,43.653268,-79.747021,Steeles Ave W at Windmill Blvd,43.653268,-79.747021
-8877047.0023,5412361.7286,57,00000560,1057.0,Steeles Ave W at McLaughlin Rd S,,,,0,,,1,43.656006,-79.74387,Steeles Ave W at McLaughlin Rd S,43.656006,-79.74387
-8875287.3751,5414585.1628,58,00000610,1060.0,Steeles Ave E btwn Hurontario St & Hartford Tr,,,,0,,,1,43.670455,-79.728063,Steeles Ave E btwn Hurontario St & Hartford Tr,43.670455,-79.728063
-8874981.8031,5414976.8467,59,00000620,1061.0,Steeles Ave E at Hartford Trail,,,,0,,,1,43.673,-79.725318,Steeles Ave E at Hartford Trail,43.673,-79.725318
-8872618.7129,5417956.4968,60,00000670,1064.0,Steeles Ave E btwn Tomken Rd & Dixie Rd,,,,0,,,1,43.692357,-79.70409,Steeles Ave E btwn Tomken Rd & Dixie Rd,43.692357,-79.70409
-8872379.71,5418250.5579,61,00000680,1065.0,Steeles Ave w/of Dixie Rd,,,,0,,,1,43.694267,-79.701943,Steeles Ave w/of Dixie Rd,43.694267,-79.701943
-8871776.1357,5418939.8677,62,00000700,1067.0,Steeles Ave E at Advance Blvd,,,,0,,,1,43.698744,-79.696521,Steeles Ave E at Advance Blvd,43.698744,-79.696521
-8870416.8134,5420684.2345,63,00000730,1070.0,Steeles Ave E at Melanie Dr (W),,,,0,,,1,43.710072,-79.68431,Steeles Ave E at Melanie Dr (W),43.710072,-79.68431
-8870172.5785,5420983.9268,64,00000740,1071.0,Steeles Ave E at Melanie Dr (E),,,,0,,,1,43.712018,-79.682116,Steeles Ave E at Melanie Dr (E),43.712018,-79.682116
-8868937.4887,5422489.9275,65,00000760,1073.0,Steeles Ave opp Pearson Convention Centre,,,,0,,,1,43.721796,-79.671021,Steeles Ave opp Pearson Convention Centre,43.721796,-79.671021
-8868341.1502,5423208.2061,66,00000780,1075.0,Steeles Ave E opp Parkhurst Sq,,,,0,,,1,43.726459,-79.665664,Steeles Ave E opp Parkhurst Sq,43.726459,-79.665664
-8867766.519,5423893.5727,67,00000790,1076.0,Steeles Ave E at 3389 Steeles Ave E,,,,0,,,1,43.730908,-79.660502,Steeles Ave E at 3389 Steeles Ave E,43.730908,-79.660502
-8867534.7518,5424173.8035,68,00000800,1077.0,Steeles Ave E at Goreway Dr,,,,0,,,1,43.732727,-79.65842,Steeles Ave E at Goreway Dr,43.732727,-79.65842
-8867403.5061,5424101.5497,69,00000810,1078.0,Goreway Dr s/of Steeles Ave E,,,,0,,,0,43.732258,-79.657241,Goreway Dr s/of Steeles Ave E,43.732258,-79.657241
-8866994.7409,5423881.2483,70,00000830,1082.0,Kenview Blvd e/of Goreway Dr,,,,0,,,0,43.730828,-79.653569,Kenview Blvd e/of Goreway Dr,43.730828,-79.653569
-8866828.8749,5424096.4657,71,00000840,1083.0,Kenview Blvd at 5 Kenview Blvd,,,,0,,,0,43.732225,-79.652079,Kenview Blvd at 5 Kenview Blvd,43.732225,-79.652079
-8866744.2721,5424458.6648,72,00000850,1084.0,Kenview Blvd at 11 Kenview Blvd,,,,0,,,0,43.734576,-79.651319,Kenview Blvd at 11 Kenview Blvd,43.734576,-79.651319
-8866664.2334,5424816.7182,73,00000900,1085.0,Kenview Blvd e/of Castleview Dr (19 Kenview Blvd),,,,0,,,0,43.7369,-79.6506,Kenview Blvd e/of Castleview Dr (19 Kenview Blvd),43.7369,-79.6506
-8866075.4646,5425052.6035,74,00000910,1086.0,Kenview Blvd at Parkshore Dr,,,,0,,,1,43.738431,-79.645311,Kenview Blvd at Parkshore Dr,43.738431,-79.645311
-8865938.2077,5425373.2385,75,00000920,1087.0,Finch Ave n/of Kenview Blvd,,,,0,,,0,43.740512,-79.644078,Finch Ave n/of Kenview Blvd,43.740512,-79.644078
-8866261.1455,5425702.6674,76,00000930,1088.0,Finch Ave s/of Steeles Ave,,,,0,,,1,43.74265,-79.646979,Finch Ave s/of Steeles Ave,43.74265,-79.646979
-8865357.4539,5426727.393,77,00000940,1090.0,Albion Rd s/of Steeles Ave,,,,0,,,1,43.7493,-79.638861,Albion Rd s/of Steeles Ave,43.7493,-79.638861
-8865432.0379,5426759.7546,78,00000941,3724.0,Steeles Ave w/of Hwy 50,,,,0,,,1,43.74951,-79.639531,Steeles Ave w/of Hwy 50,43.74951,-79.639531
-8864924.3097,5427005.5524,79,00000942,8075.0,Steeles Ave w/of Alcide St,,,,0,,,0,43.751105,-79.63497,Steeles Ave w/of Alcide St,43.751105,-79.63497
-8863849.854,5427276.6311,80,00000943,8076.0,Steeles Ave w/of Signal Hill Ave,,,,0,,,0,43.752864,-79.625318,Steeles Ave w/of Signal Hill Ave,43.752864,-79.625318
-8863713.9329,5426952.6938,81,00000944,8077.0,Signal Hill Ave n/of Steinway Blvd,,,,0,,,0,43.750762,-79.624097,Signal Hill Ave n/of Steinway Blvd,43.750762,-79.624097
-8864196.1689,5426638.7844,82,00000945,8078.0,Steinway Blvd n/of Albion Rd,,,,0,,,0,43.748725,-79.628429,Steinway Blvd n/of Albion Rd,43.748725,-79.628429
-8863874.233,5426873.4834,83,00000946,8086.0,Steinway Blvd w/of Signal Hill Ave,,,,0,,,0,43.750248,-79.625537,Steinway Blvd w/of Signal Hill Ave,43.750248,-79.625537
-8865005.3503,5426434.6026,84,00000950,8000.0,Albion Rd w/of Claireport Cres (W),,,,0,,,0,43.7474,-79.635698,Albion Rd w/of Claireport Cres (W),43.7474,-79.635698
-8864671.3919,5426461.878,85,00000960,8001.0,Albion Rd w/of Claireport Cres (E),,,,0,,,0,43.747577,-79.632698,Albion Rd w/of Claireport Cres (E),43.747577,-79.632698
-8864275.4284,5426527.8322,86,00000970,8002.0,Albion Rd at Steinway Blvd,,,,0,,,0,43.748005,-79.629141,Albion Rd at Steinway Blvd,43.748005,-79.629141
-8863496.192,5426223.0289,87,00000980,8003.0,Humberline Dr n/of Claireville Dr (N),,,,0,,,1,43.746027,-79.622141,Humberline Dr n/of Claireville Dr (N),43.746027,-79.622141
-8864738.7401,5424274.2512,88,00001090,6000.0,Longo Circle - Zum Steeles Stop,,,,0,,,1,43.733379,-79.633303,Longo Circle - Zum Steeles Stop,43.733379,-79.633303
-8865161.8655,5424654.1751,89,00001100,6001.0,Finch Ave n/of Longo Circle,,,,0,,,1,43.735845,-79.637104,Finch Ave n/of Longo Circle,43.735845,-79.637104
-8865962.6979,5425225.3228,90,00001110,1099.0,Kenview Blvd w/of Finch Ave,,,,0,,,1,43.739552,-79.644298,Kenview Blvd w/of Finch Ave,43.739552,-79.644298
-8866101.8473,5425062.6184,91,00001115,3670.0,Kenview Blvd w/of Parkshore Dr,,,,0,,,1,43.738496,-79.645548,Kenview Blvd w/of Parkshore Dr,43.738496,-79.645548
-8866473.2091,5425005.1486,92,00001120,1100.0,Kenview Blvd at 26 Kenview Blvd,,,,0,,,1,43.738123,-79.648884,Kenview Blvd at 26 Kenview Blvd,43.738123,-79.648884
-8866733.5854,5424614.4256,93,00001130,1101.0,Kenview Blvd at 14 Kenview Blvd,,,,0,,,1,43.735587,-79.651223,Kenview Blvd at 14 Kenview Blvd,43.735587,-79.651223
-8866778.4472,5424413.8321,94,00001140,1102.0,Kenview Blvd at Paget Rd,,,,0,,,1,43.734285,-79.651626,Kenview Blvd at Paget Rd,43.734285,-79.651626
-8867060.7534,5423852.5941,95,00001150,1103.0,Kenview Blvd at Goreway Dr,,,,0,,,1,43.730642,-79.654162,Kenview Blvd at Goreway Dr,43.730642,-79.654162
-8867423.2097,5424194.1395,96,00001170,1105.0,Goreway Dr at Steeles Ave E,,,,0,,,1,43.732859,-79.657418,Goreway Dr at Steeles Ave E,43.732859,-79.657418
-8868312.9864,5423318.6562,97,00001180,1106.0,Steeles Ave E at Parkhurst Sq,,,,0,,,1,43.727176,-79.665411,Steeles Ave E at Parkhurst Sq,43.727176,-79.665411
-8870265.7529,5420942.6531,98,00001230,1111.0,Steeles Ave E w/of Melanie Dr (E),,,,0,,,1,43.71175,-79.682953,Steeles Ave E w/of Melanie Dr (E),43.71175,-79.682953
-8870486.0541,5420674.2244,99,00001235,1112.0,Steeles Ave E w/of Melanie Dr (W),,,,0,,,1,43.710007,-79.684932,Steeles Ave E w/of Melanie Dr (W),43.710007,-79.684932
-8871921.185,5418856.4149,100,00001260,1115.0,Steeles Ave w/of Advance Blvd,,,,0,,,1,43.698202,-79.697824,Steeles Ave w/of Advance Blvd,43.698202,-79.697824
-8872623.4997,5418018.3875,101,00001280,1117.0,Steeles Ave E btwn Dixie Rd & West Dr,,,,0,,,1,43.692759,-79.704133,Steeles Ave E btwn Dixie Rd & West Dr,43.692759,-79.704133
-8874388.3589,5415808.7492,102,00001315,1121.0,Steeles Ave E e/of Resolution Dr,,,,0,,,1,43.678405,-79.719987,Steeles Ave E e/of Resolution Dr,43.678405,-79.719987
-8874665.6557,5415457.8172,103,00001320,1122.0,Steeles Ave e/of Kennedy Rd,,,,0,,,1,43.676125,-79.722478,Steeles Ave e/of Kennedy Rd,43.676125,-79.722478
-8874974.6786,5415057.8019,104,00001340,1124.0,Steeles Ave E at Orchard Dr,,,,0,,,1,43.673526,-79.725254,Steeles Ave E at Orchard Dr,43.673526,-79.725254
-8883434.8486,5417499.2581,105,00001345,1125.0,Fletchers Creek Blvd at Gold Hill Rd,,,,0,,,1,43.689387,-79.801253,Fletchers Creek Blvd at Gold Hill Rd,43.689387,-79.801253
-8875290.826,5414656.5727,106,00001350,1126.0,Steeles Ave E at 152 Steeles Ave,,,,0,,,1,43.670919,-79.728094,Steeles Ave E at 152 Steeles Ave,43.670919,-79.728094
-8875766.2715,5414063.4563,107,00001360,1127.0,Steeles Ave e/of Main St,,,,0,,,1,43.667065,-79.732365,Steeles Ave e/of Main St,43.667065,-79.732365
-8877376.174,5412039.5451,108,00001430,1130.0,Steeles Ave W at Tait Blvd,,,,0,,,1,43.653912,-79.746827,Steeles Ave W at Tait Blvd,43.653912,-79.746827
-8877972.4012,5411300.4425,109,00001440,1131.0,Steeles Ave W at Beaconsfield walkway,,,,0,,,1,43.649108,-79.752183,Steeles Ave W at Beaconsfield walkway,43.649108,-79.752183
-8878191.3667,5411031.3709,110,00001450,1132.0,Steeles Ave W at Chinguacousy Rd,,,,0,,,1,43.647359,-79.75415,Steeles Ave W at Chinguacousy Rd,43.647359,-79.75415
-8878596.2356,5410508.9421,111,00001460,1133.0,Steeles Ave W w/of James Potter Dr,,,,0,,,1,43.643963,-79.757787,Steeles Ave W w/of James Potter Dr,43.643963,-79.757787
-8878841.1385,5410219.7422,112,00001465,1134.0,Steeles Ave W at Polonia Ave,,,,0,,,1,43.642083,-79.759987,Steeles Ave W at Polonia Ave,43.642083,-79.759987
-8879039.2872,5409954.3938,113,00001470,1135.0,Steeles Ave at Churchville Rd,,,,0,,,1,43.640358,-79.761767,Steeles Ave at Churchville Rd,43.640358,-79.761767
-8879863.608,5408937.3726,114,00001490,1137.0,Steeles Ave W e/of Financial Dr,,,,0,,,1,43.633746,-79.769172,Steeles Ave W e/of Financial Dr,43.633746,-79.769172
-8880105.394,5408632.9955,115,00001500,1138.0,Financial - Zum Steeles Station Stop WB,,,,0,,,1,43.631767,-79.771344,Financial - Zum Steeles Station Stop WB,43.631767,-79.771344
-8880721.6587,5407873.8652,116,00001508,3690.0,Mississauga Road - Zum Steeles Station Stop WB,,,,0,,,1,43.626831,-79.77688,Mississauga Road - Zum Steeles Station Stop WB,43.626831,-79.77688
-8880571.934,5407867.2523,117,00001510,1139.0,Mississauga Rd s/of Steeles Ave,,,,0,,,1,43.626788,-79.775535,Mississauga Rd s/of Steeles Ave,43.626788,-79.775535
-8880072.3321,5407351.4611,118,00001520,1140.0,Mississauga Rd n/of Edgeware Rd,,,,0,,,1,43.623434,-79.771047,Mississauga Rd n/of Edgeware Rd,43.623434,-79.771047
-8879797.5956,5406907.51,119,00001530,1141.0,Hereford St w/of Mississauga Rd,,,,0,,,1,43.620547,-79.768579,Hereford St w/of Mississauga Rd,43.620547,-79.768579
-8879673.2517,5406595.2038,120,00001540,1142.0,Hereford St s/of Ironbridge Rd,,,,0,,,1,43.618516,-79.767462,Hereford St s/of Ironbridge Rd,43.618516,-79.767462
-8879759.9696,5406380.24,121,00001550,1143.0,Hereford St w/of President's Choice Cir (Loblaws),,,,0,,,1,43.617118,-79.768241,Hereford St w/of President's Choice Cir (Loblaws),43.617118,-79.768241
-8880152.7048,5406140.3721,122,00001560,1144.0,Hereford St btwn President's Choice Cir & Edgeware,,,,0,,,1,43.615558,-79.771769,Hereford St btwn President's Choice Cir & Edgeware,43.615558,-79.771769
-8880682.2516,5406672.2415,123,00001570,1145.0,Hereford St n/of Edgeware Rd,,,,0,,,1,43.619017,-79.776526,Hereford St n/of Edgeware Rd,43.619017,-79.776526
-8880907.6735,5406901.9742,124,00001575,3622.0,Hereford St btwn Edgeware Rd & Steeles Ave,,,,0,,,0,43.620511,-79.778551,Hereford St btwn Edgeware Rd & Steeles Ave,43.620511,-79.778551
-8874372.2176,5422246.7144,125,00001640,1148.0,Kensington Rd e/of Central Park Dr,,,,0,,,1,43.720217,-79.719842,Kensington Rd e/of Central Park Dr,43.720217,-79.719842
-8874255.1095,5422391.9638,126,00001650,1149.0,Kensington Rd at Kingscross Rd,,,,0,,,1,43.72116,-79.71879,Kensington Rd at Kingscross Rd,43.72116,-79.71879
-8874086.6831,5422527.0493,127,00001660,1150.0,Kensington Rd opp Bramalea Medical Centre,,,,0,,,1,43.722037,-79.717277,Kensington Rd opp Bramalea Medical Centre,43.722037,-79.717277
-8873937.181,5422648.2737,128,00001670,1151.0,Kensington Rd at Bramalea Rd,,,,0,,,1,43.722824,-79.715934,Kensington Rd at Bramalea Rd,43.722824,-79.715934
-8873728.5683,5422489.1574,129,00001680,1152.0,Bramalea Rd at Knightsbridge Rd - Rte 12 ONLY,,,,0,,,1,43.721791,-79.71406,Bramalea Rd at Knightsbridge Rd - Rte 12 ONLY,43.721791,-79.71406
-8873182.8801,5423178.6297,130,00001720,1153.0,Finchgate Blvd at Feston Place,,,,0,,,1,43.726267,-79.709158,Finchgate Blvd at Feston Place,43.726267,-79.709158
-8873526.9687,5423375.3452,131,00001730,1154.0,Finchgate Blvd at Queen St E,,,,0,,,1,43.727544,-79.712249,Finchgate Blvd at Queen St E,43.727544,-79.712249
-8873781.779,5423625.5203,132,00001740,1155.0,Glenvale Blvd s/of Gatwick Lane,,,,0,,,1,43.729168,-79.714538,Glenvale Blvd s/of Gatwick Lane,43.729168,-79.714538
-8873909.1285,5423844.8913,133,00001750,1156.0,Glenvale Blvd n/of Greenmount Rd,,,,0,,,1,43.730592,-79.715682,Glenvale Blvd n/of Greenmount Rd,43.730592,-79.715682
-8874013.8801,5424208.159,134,00001760,1157.0,Glenvale Blvd at Geraldine Crt,,,,0,,,1,43.73295,-79.716623,Glenvale Blvd at Geraldine Crt,43.73295,-79.716623
-8874200.5629,5424365.7643,135,00001770,1158.0,Central Park Dr btwn Glenvale Blvd and Graham Crt,,,,0,,,1,43.733973,-79.7183,Central Park Dr btwn Glenvale Blvd and Graham Crt,43.733973,-79.7183
-8874490.8841,5424254.5313,136,00001780,1159.0,Grenoble Blvd n/of Central Park Dr,,,,0,,,1,43.733251,-79.720908,Grenoble Blvd n/of Central Park Dr,43.733251,-79.720908
-8874563.2418,5424475.9201,137,00001790,1160.0,Grenoble Blvd at Glencastle Square,,,,0,,,1,43.734688,-79.721558,Grenoble Blvd at Glencastle Square,43.734688,-79.721558
-8874561.1267,5424704.7095,138,00001800,1161.0,Grenoble Blvd at Gladstone Square,,,,0,,,1,43.736173,-79.721539,Grenoble Blvd at Gladstone Square,43.736173,-79.721539
-8874701.8346,5424897.1435,139,00001810,1162.0,Grenoble Blvd at Greenbriar Rd,,,,0,,,1,43.737422,-79.722803,Grenoble Blvd at Greenbriar Rd,43.737422,-79.722803
-8874938.9451,5425063.5428,140,00001815,1163.0,Grenoble Blvd at Williams Pky E,,,,0,,,1,43.738502,-79.724933,Grenoble Blvd at Williams Pky E,43.738502,-79.724933
-8875379.8816,5425614.9932,141,00001840,1165.0,Jordan Blvd at Joshua Crt,,,,0,,,1,43.742081,-79.728894,Jordan Blvd at Joshua Crt,43.742081,-79.728894
-8875516.9159,5425874.0121,142,00001850,1166.0,Jordan Blvd at Jameson Cres,,,,0,,,1,43.743762,-79.730125,Jordan Blvd at Jameson Cres,43.743762,-79.730125
-8875680.2216,5425980.1796,143,00001860,1167.0,Jordan Blvd at North Park Dr,,,,0,,,1,43.744451,-79.731592,Jordan Blvd at North Park Dr,43.744451,-79.731592
-8875492.203,5426278.5029,144,00001870,1168.0,North Park Dr at Jayfield Rd,,,,0,,,1,43.746387,-79.729903,North Park Dr at Jayfield Rd,43.746387,-79.729903
