,U_NAME,ID,V_ID,ROUTE_ID,TRIP_ID,TRIP_TYPE,DST_BTW_STPS,CUR_STP_ID,CUR_STP_NM,CUR_STP_LAT,CUR_STP_LONG,CUR_STP_TIME,SEGMENT_NAME,AVG_DIR,NXT_STP_ID,NXT_STP_NAME,NXT_STP_LAT,NXT_STP_LONG,NXT_STP_TIME
13,100_1-344_23865983-240304-MULTI-Saturday-01_69,100,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,0.534686238819264,92485.0,Creditview - Zum Queen West Station Stop EB,43.656482,-79.792445,1712439722.0308137,Creditview - Zum Queen West Station Stop EB -- TO -- Queen St W w/of Angelgate Rd,8,92490,Queen St W w/of Angelgate Rd,43.660227,-79.788276,1712439916.4135394
14,100_1-344_23865983-240304-MULTI-Saturday-01_69,100,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,3.6221870872369752,92490.0,Queen St W w/of Angelgate Rd,43.660227,-79.788276,1712439916.4135394,Queen St W w/of Angelgate Rd -- TO -- Downtown Terminal,8,45505,Downtown Terminal,43.686933,-79.762487,1712441370.6512349
15,100_1-344_23865983-240304-MULTI-Saturday-01_69,100,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,6.1253344916671315,45505.0,Downtown Terminal,43.686933,-79.762487,1712441370.6512349,Downtown Terminal -- TO -- Finchgate - Zum Queen Station Stop EB,8,50114,Finchgate - Zum Queen Station Stop EB,43.728553,-79.712565,1712442443.2595139
16,100_1-344_23865983-240304-MULTI-Saturday-01_69,100,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,6.547115402601749,50114.0,Finchgate - Zum Queen Station Stop EB,43.728553,-79.712565,1712442443.2595139,Finchgate - Zum Queen Station Stop EB -- TO -- Ebenezer Rd w/of Nexus Ave,8,44820,Ebenezer Rd w/of Nexus Ave,43.774063,-79.660847,1712444023.7426527
17,100_1-344_23865983-240304-MULTI-Saturday-01_69,100,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,0.3555883088861701,44820.0,Ebenezer Rd w/of Nexus Ave,43.774063,-79.660847,1712444023.7426527,Ebenezer Rd w/of Nexus Ave -- TO -- Ebenezer Rd at The Gore Rd,8,44520,Ebenezer Rd at The Gore Rd,43.771576,-79.663631,1712444043.2566867
19,100_1-344_23865985-240304-MULTI-Saturday-01_27,100,1102,1-344,23865985-240304-MULTI-Saturday-01,Saturday,0.5878304971882325,92475.0,Queen St opp Elbern Markell Dr,43.652312,-79.796936,1712441433.5107512,Queen St opp Elbern Markell Dr -- TO -- Creditview - Zum Queen West Station Stop EB,38,92485,Creditview - Zum Queen West Station Stop EB,43.656482,-79.792445,1712441474.4460065
20,100_1-344_23865985-240304-MULTI-Saturday-01_27,100,1102,1-344,23865985-240304-MULTI-Saturday-01,Saturday,3.249846259746276,92485.0,Creditview - Zum Queen West Station Stop EB,43.656482,-79.792445,1712441474.4460065,Creditview - Zum Queen West Station Stop EB -- TO -- Queen St W e/of Haggart Ave S,38,7610,Queen St W e/of Haggart Ave S,43.679234,-79.767084,1712442397.2484946
21,100_1-344_23865985-240304-MULTI-Saturday-01_27,100,1102,1-344,23865985-240304-MULTI-Saturday-01,Saturday,5.646362960025252,7610.0,Queen St W e/of Haggart Ave S,43.679234,-79.767084,1712442397.2484946,Queen St W e/of Haggart Ave S -- TO -- Clark Blvd w/of Central Park Dr,38,9875,Clark Blvd w/of Central Park Dr,43.715563,-79.718013,1712443656.5480025
23,100_1-344_23866014-240304-MULTI-Saturday-01_210,100,615,1-344,23866014-240304-MULTI-Saturday-01,Saturday,3.6636133468181775,50170.0,Laurelcrest - Zum Queen Station Stop WB,43.70858,-79.735318,1712442666.3084302,Laurelcrest - Zum Queen Station Stop WB -- TO -- Queen St W at Park St,-141,8360,Queen St W at Park St,43.68272,-79.763555,1712444210.9191487
24,100_1-344_23866014-240304-MULTI-Saturday-01_210,100,615,1-344,23866014-240304-MULTI-Saturday-01,Saturday,0.6792688618536115,8360.0,Queen St W at Park St,43.68272,-79.763555,1712444210.9191487,Queen St W at Park St -- TO -- Queen St W at Mercer Dr,-141,8390,Queen St W at Mercer Dr,43.677935,-79.768806,1712444573.2631493
26,100_1-344_23866015-240304-MULTI-Saturday-01_199,100,1114,1-344,23866015-240304-MULTI-Saturday-01,Saturday,2.32427101979663,50172.0,Rutherford - Zum Queen Station Stop WB,43.701541,-79.743109,1712439516.460116,Rutherford - Zum Queen Station Stop WB -- TO -- George St opp Diplock Lane,-144,8340,George St opp Diplock Lane,43.685426,-79.761521,1712440290.5187628
27,100_1-344_23866015-240304-MULTI-Saturday-01_199,100,1114,1-344,23866015-240304-MULTI-Saturday-01,Saturday,0.34247314848373756,8340.0,George St opp Diplock Lane,43.685426,-79.761521,1712440290.5187628,George St opp Diplock Lane -- TO -- Queen St W at Park St,-144,8360,Queen St W at Park St,43.68272,-79.763555,1712440320.5067914
29,100_1-344_23866018-240304-MULTI-Saturday-01_206,100,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,0.48778767894098907,50150.0,Queen St & Highway 50 - WB,43.767099,-79.64965,1712440675.8118675,Queen St & Highway 50 - WB -- TO -- The Gore Rd n/of Queen St,-123,17550,The Gore Rd n/of Queen St,43.766442,-79.655656,1712441008.995319
30,100_1-344_23866018-240304-MULTI-Saturday-01_206,100,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,1.022468445938186,17550.0,The Gore Rd n/of Queen St,43.766442,-79.655656,1712441008.995319,The Gore Rd n/of Queen St -- TO -- Ebenezer Rd e/of Alfonso Cres,-123,16090507,Ebenezer Rd e/of Alfonso Cres,43.7679,-79.668228,1712440993.3135803
31,100_1-344_23866018-240304-MULTI-Saturday-01_206,100,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,0.8367948881122541,16090507.0,Ebenezer Rd e/of Alfonso Cres,43.7679,-79.668228,1712440993.3135803,Ebenezer Rd e/of Alfonso Cres -- TO -- McVean - Zum Queen Station Stop WB,-123,50154,McVean - Zum Queen Station Stop WB,43.761528,-79.673772,1712441222.8116806
32,100_1-344_23866018-240304-MULTI-Saturday-01_206,100,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,7.480741690338947,50154.0,McVean - Zum Queen Station Stop WB,43.761528,-79.673772,1712441222.8116806,McVean - Zum Queen Station Stop WB -- TO -- Clark Blvd opp 185 Clark Blvd,-123,280,Clark Blvd opp 185 Clark Blvd,43.705847,-79.726028,1712442899.1662917
33,100_1-344_23866018-240304-MULTI-Saturday-01_206,100,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,0.8062053204449882,280.0,Clark Blvd opp 185 Clark Blvd,43.705847,-79.726028,1712442899.1662917,Clark Blvd opp 185 Clark Blvd -- TO -- Laurelcrest - Zum Queen Station Stop WB,-123,50170,Laurelcrest - Zum Queen Station Stop WB,43.70858,-79.735318,1712443056.8395803
34,100_1-344_23866018-240304-MULTI-Saturday-01_206,100,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,1.2000444001301933,50170.0,Laurelcrest - Zum Queen Station Stop WB,43.70858,-79.735318,1712443056.8395803,Laurelcrest - Zum Queen Station Stop WB -- TO -- Queen St E at 300 Queen St E,-123,8245,Queen St E at 300 Queen St E,43.700155,-79.744648,1712443213.4837248
35,100_1-344_23866018-240304-MULTI-Saturday-01_206,100,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,0.23539558526821525,8245.0,Queen St E at 300 Queen St E,43.700155,-79.744648,1712443213.4837248,Queen St E at 300 Queen St E -- TO -- Queen St E w/of Hansen Rd,-123,8250,Queen St E w/of Hansen Rd,43.69852,-79.746508,1712443778.7891028
36,100_1-344_23866018-240304-MULTI-Saturday-01_206,100,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,2.0893745434861786,8250.0,Queen St E w/of Hansen Rd,43.69852,-79.746508,1712443778.7891028,Queen St E w/of Hansen Rd -- TO -- Queen St W at Mill St N,-123,8350,Queen St W at Mill St N,43.683694,-79.762473,1712444406.4942741
38,100_1-344_23866019-240304-MULTI-Saturday-01_189,100,2210,1-344,23866019-240304-MULTI-Saturday-01,Saturday,1.3858957321953096,50154.0,McVean - Zum Queen Station Stop WB,43.761528,-79.673772,1712442306.1436465,McVean - Zum Queen Station Stop WB -- TO -- Goreway - Zum Queen Station Stop WB,-142,50156,Goreway - Zum Queen Station Stop WB,43.752459,-79.685609,1712442458.4157987
39,100_1-344_23866019-240304-MULTI-Saturday-01_189,100,2210,1-344,23866019-240304-MULTI-Saturday-01,Saturday,0.9699767428952427,50156.0,Goreway - Zum Queen Station Stop WB,43.752459,-79.685609,1712442458.4157987,Goreway - Zum Queen Station Stop WB -- TO -- Queen St E at Maritime Ontario,-142,21137,Queen St E at Maritime Ontario,43.745823,-79.693447,1712442503.3027856
40,100_1-344_23866019-240304-MULTI-Saturday-01_189,100,2210,1-344,23866019-240304-MULTI-Saturday-01,Saturday,0.42060068015017715,21137.0,Queen St E at Maritime Ontario,43.745823,-79.693447,1712442503.3027856,Queen St E at Maritime Ontario -- TO -- Airport Road - Zum Queen Station Stop WB,-142,50158,Airport Road - Zum Queen Station Stop WB,43.742944,-79.696843,1712442557.2319486
41,100_1-344_23866019-240304-MULTI-Saturday-01_189,100,2210,1-344,23866019-240304-MULTI-Saturday-01,Saturday,0.9401693207552789,50158.0,Airport Road - Zum Queen Station Stop WB,43.742944,-79.696843,1712442557.2319486,Airport Road - Zum Queen Station Stop WB -- TO -- Queen St E w/of Tim Hortons (2433 Queen St E),-142,8070,Queen St E w/of Tim Hortons (2433 Queen St E),43.736448,-79.704334,1712443287.5639045
43,100_1-344_23866020-240304-MULTI-Saturday-01_226,100,1106,1-344,23866020-240304-MULTI-Saturday-01,Saturday,0.8040535512883339,50150.0,Queen St & Highway 50 - WB,43.767099,-79.64965,1712442948.0414784,Queen St & Highway 50 - WB -- TO -- The Gore Rd s/of Fogal Rd,-116,17555,The Gore Rd s/of Fogal Rd,43.769367,-79.659158,1712442965.7668638
44,100_1-344_23866020-240304-MULTI-Saturday-01_226,100,1106,1-344,23866020-240304-MULTI-Saturday-01,Saturday,0.4998395482115112,17555.0,The Gore Rd s/of Fogal Rd,43.769367,-79.659158,1712442965.7668638,The Gore Rd s/of Fogal Rd -- TO -- Ebenezer Rd e/of Royal Country Dr,-116,16090506,Ebenezer Rd e/of Royal Country Dr,43.770674,-79.665114,1712443296.0291708
45,100_1-344_23866020-240304-MULTI-Saturday-01_226,100,1106,1-344,23866020-240304-MULTI-Saturday-01,Saturday,0.39707335185672993,16090506.0,Ebenezer Rd e/of Royal Country Dr,43.770674,-79.665114,1712443296.0291708,Ebenezer Rd e/of Royal Country Dr -- TO -- Ebenezer Rd e/of Alfonso Cres,-116,16090507,Ebenezer Rd e/of Alfonso Cres,43.7679,-79.668228,1712443350.320011
46,100_1-344_23866020-240304-MULTI-Saturday-01_226,100,1106,1-344,23866020-240304-MULTI-Saturday-01,Saturday,0.38282111970450905,16090507.0,Ebenezer Rd e/of Alfonso Cres,43.7679,-79.668228,1712443350.320011,Ebenezer Rd e/of Alfonso Cres -- TO -- Ebenezer Rd e/of Don Minaker Dr,-116,16090508,Ebenezer Rd e/of Don Minaker Dr,43.765173,-79.671138,1712443451.8745394
48,100_1-344_23866021-240304-MULTI-Saturday-01_170,100,2217,1-344,23866021-240304-MULTI-Saturday-01,Saturday,0.48778767894098907,50150.0,Queen St & Highway 50 - WB,43.767099,-79.64965,1712444392.9422019,Queen St & Highway 50 - WB -- TO -- The Gore Rd n/of Queen St,-97,17550,The Gore Rd n/of Queen St,43.766442,-79.655656,1712444569.9792247
50,100_3-344_23864953-240304-MULTI-Saturday-01_292,100,1878,3-344,23864953-240304-MULTI-Saturday-01,Saturday,0.468669575518966,13860.0,McLaughlin Rd S at Charolais Blvd,43.660158,-79.748793,1712441706.9883492,McLaughlin Rd S at Charolais Blvd -- TO -- McLaughlin Rd S at 8351 McLaughlin Rd S,-44,13870,McLaughlin Rd S at 8351 McLaughlin Rd S,43.663159,-79.752884,1712441926.2262254
53,101_1-344_23865982-240304-MULTI-Saturday-01_139,101,1106,1-344,23865982-240304-MULTI-Saturday-01,Saturday,3.180467770708542,7730.0,Queen St E btwn Kennedy Rd N & Hansen Rd,43.697293,-79.74737,1712439581.067222,Queen St E btwn Kennedy Rd N & Hansen Rd -- TO -- Team Canada Dr btwn Knightsbridge & Peel Cente Dr,27,23140,Team Canada Dr btwn Knightsbridge & Peel Cente Dr,43.71765,-79.719575,1712440499.8388548
54,101_1-344_23865982-240304-MULTI-Saturday-01_139,101,1106,1-344,23865982-240304-MULTI-Saturday-01,Saturday,0.1669966534279063,23140.0,Team Canada Dr btwn Knightsbridge & Peel Cente Dr,43.71765,-79.719575,1712440499.8388548,Team Canada Dr btwn Knightsbridge & Peel Cente Dr -- TO -- Bramalea Terminal,27,45533,Bramalea Terminal,43.718956,-79.720601,1712440571.192305
55,101_1-344_23865982-240304-MULTI-Saturday-01_139,101,1106,1-344,23865982-240304-MULTI-Saturday-01,Saturday,3.449762903932267,45533.0,Bramalea Terminal,43.718956,-79.720601,1712440571.192305,Bramalea Terminal -- TO -- Airport Road - Zum Queen Station Stop EB,27,50120,Airport Road - Zum Queen Station Stop EB,43.743893,-79.695058,1712441129.8437626
56,101_1-344_23865982-240304-MULTI-Saturday-01_139,101,1106,1-344,23865982-240304-MULTI-Saturday-01,Saturday,4.336271078037097,50120.0,Airport Road - Zum Queen Station Stop EB,43.743893,-79.695058,1712441129.8437626,Airport Road - Zum Queen Station Stop EB -- TO -- Ebenezer Rd w/of Nexus Ave,27,44820,Ebenezer Rd w/of Nexus Ave,43.774063,-79.660847,1712442168.912779
58,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,1.043355778313242,15090806.0,Mississauga Rd s/of Settlers Field Rd,43.653649,-79.81179,1712439192.9935892,Mississauga Rd s/of Settlers Field Rd -- TO -- Mississauga Rd - Zum Queen West Station Stop EB,19,16090502,Mississauga Rd - Zum Queen West Station Stop EB,43.648416,-79.801026,1712439384.3749597
59,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,0.5440235001063328,92475.0,Queen St opp Elbern Markell Dr,43.652312,-79.796936,1712439384.3749597,Queen St opp Elbern Markell Dr -- TO -- Mississauga Rd - Zum Queen West Station Stop EB,19,16090502,Mississauga Rd - Zum Queen West Station Stop EB,43.648416,-79.801026,1712439592.12835
60,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,0.5440235001063328,16090502.0,Mississauga Rd - Zum Queen West Station Stop EB,43.648416,-79.801026,1712439592.12835,Mississauga Rd - Zum Queen West Station Stop EB -- TO -- Queen St opp Elbern Markell Dr,19,92475,Queen St opp Elbern Markell Dr,43.652312,-79.796936,1712439607.1445334
61,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,1.5088350569853761,92475.0,Queen St opp Elbern Markell Dr,43.652312,-79.796936,1712439607.1445334,Queen St opp Elbern Markell Dr -- TO -- James Potter - Zum Queen West Station Stop EB,19,92495,James Potter - Zum Queen West Station Stop EB,43.662941,-79.785277,1712439873.8490942
62,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,0.34031612729968774,92495.0,James Potter - Zum Queen West Station Stop EB,43.662941,-79.785277,1712439873.8490942,James Potter - Zum Queen West Station Stop EB -- TO -- Queen St w/of Chinguacousy Rd,19,15051807,Queen St w/of Chinguacousy Rd,43.665332,-79.782636,1712439915.6130886
63,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,0.22118226006108396,15051807.0,Queen St w/of Chinguacousy Rd,43.665332,-79.782636,1712439915.6130886,Queen St w/of Chinguacousy Rd -- TO -- Chinguacousy - Zum Queen West Station Stop EB,19,16170,Chinguacousy - Zum Queen West Station Stop EB,43.66685,-79.780859,1712440019.1896338
64,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,0.4609841076947172,16170.0,Chinguacousy - Zum Queen West Station Stop EB,43.66685,-79.780859,1712440019.1896338,Chinguacousy - Zum Queen West Station Stop EB -- TO -- Queen St W w/of Drinkwater Rd,19,91100,Queen St W w/of Drinkwater Rd,43.670077,-79.777261,1712440013.0342681
65,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,2.4649670650498585,91100.0,Queen St W w/of Drinkwater Rd,43.670077,-79.777261,1712440013.0342681,Queen St W w/of Drinkwater Rd -- TO -- Queen St E e/of Chapel St,19,7675,Queen St E e/of Chapel St,43.687404,-79.758142,1712440904.0914986
66,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,0.35327420217054345,7675.0,Queen St E e/of Chapel St,43.687404,-79.758142,1712440904.0914986,Queen St E e/of Chapel St -- TO -- Downtown Terminal,19,45505,Downtown Terminal,43.686933,-79.762487,1712441268.8113568
67,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,5.613378327308933,45505.0,Downtown Terminal,43.686933,-79.762487,1712441268.8113568,Downtown Terminal -- TO -- Bramalea - Zum Queen Station Stop EB,19,50112,Bramalea - Zum Queen Station Stop EB,43.724972,-79.716576,1712442585.4001584
68,101_1-344_23865983-240304-MULTI-Saturday-01_53,101,2217,1-344,23865983-240304-MULTI-Saturday-01,Saturday,1.9220762937927172,50112.0,Bramalea - Zum Queen Station Stop EB,43.724972,-79.716576,1712442585.4001584,Bramalea - Zum Queen Station Stop EB -- TO -- Gateway - Zum Queen Station Stop EB,19,50118,Gateway - Zum Queen Station Stop EB,43.73838,-79.701478,1712443107.634505
70,101_1-344_23865984-240304-MULTI-Saturday-01_123,101,825,1-344,23865984-240304-MULTI-Saturday-01,Saturday,5.8150772957609576,15090804.0,Williams - Zum Queen West Station Stop SB,43.658335,-79.818246,1712439798.5682588,Williams - Zum Queen West Station Stop SB -- TO -- Queen St E e/of Chapel St,46,7675,Queen St E e/of Chapel St,43.687404,-79.758142,1712441020.1753666
72,101_1-344_23865987-240304-MULTI-Saturday-01_62,101,817,1-344,23865987-240304-MULTI-Saturday-01,Saturday,0.5190323742246286,7610.0,Queen St W e/of Haggart Ave S,43.679234,-79.767084,1712444218.5745375,Queen St W e/of Haggart Ave S -- TO -- Queen St W at Mill St S,40,7630,Queen St W at Mill St S,43.682887,-79.763066,1712444368.6019995
73,101_1-344_23865987-240304-MULTI-Saturday-01_62,101,817,1-344,23865987-240304-MULTI-Saturday-01,Saturday,0.452297286047852,7630.0,Queen St W at Mill St S,43.682887,-79.763066,1712444368.6019995,Queen St W at Mill St S -- TO -- Downtown Terminal,40,45505,Downtown Terminal,43.686933,-79.762487,1712444541.064798
74,101_1-344_23865987-240304-MULTI-Saturday-01_62,101,817,1-344,23865987-240304-MULTI-Saturday-01,Saturday,0.35327420217054345,45505.0,Downtown Terminal,43.686933,-79.762487,1712444541.064798,Downtown Terminal -- TO -- Queen St E e/of Chapel St,40,7675,Queen St E e/of Chapel St,43.687404,-79.758142,1712444690.844142
76,101_1-344_23866014-240304-MULTI-Saturday-01_210,101,615,1-344,23866014-240304-MULTI-Saturday-01,Saturday,6.2284963955253545,50156.0,Goreway - Zum Queen Station Stop WB,43.752459,-79.685609,1712441048.250054,Goreway - Zum Queen Station Stop WB -- TO -- West Dr at 115 West Dr,-144,8210,West Dr at 115 West Dr,43.707824,-79.732443,1712442990.8427656
77,101_1-344_23866014-240304-MULTI-Saturday-01_210,101,615,1-344,23866014-240304-MULTI-Saturday-01,Saturday,3.4158079907776724,8210.0,West Dr at 115 West Dr,43.707824,-79.732443,1712442990.8427656,West Dr at 115 West Dr -- TO -- George St opp Diplock Lane,-144,8340,George St opp Diplock Lane,43.685426,-79.761521,1712443980.6138422
78,101_1-344_23866014-240304-MULTI-Saturday-01_210,101,615,1-344,23866014-240304-MULTI-Saturday-01,Saturday,0.20724587580443685,8340.0,George St opp Diplock Lane,43.685426,-79.761521,1712443980.6138422,George St opp Diplock Lane -- TO -- Queen St W at Mill St N,-144,8350,Queen St W at Mill St N,43.683694,-79.762473,1712444046.4254708
79,101_1-344_23866014-240304-MULTI-Saturday-01_210,101,615,1-344,23866014-240304-MULTI-Saturday-01,Saturday,0.13892401249601358,8350.0,Queen St W at Mill St N,43.683694,-79.762473,1712444046.4254708,Queen St W at Mill St N -- TO -- Queen St W at Park St,-144,8360,Queen St W at Park St,43.68272,-79.763555,1712444240.368162
81,101_1-344_23866017-240304-MULTI-Saturday-01_248,101,1802,1-344,23866017-240304-MULTI-Saturday-01,Saturday,0.33399583176700115,23180.0,Queen St E w/of Hwy 410 (Petro Canada),43.703861,-79.74047,1712441790.481496,Queen St E w/of Hwy 410 (Petro Canada) -- TO -- Rutherford - Zum Queen Station Stop WB,-141,50172,Rutherford - Zum Queen Station Stop WB,43.701541,-79.743109,1712441851.4897578
82,101_1-344_23866017-240304-MULTI-Saturday-01_248,101,1802,1-344,23866017-240304-MULTI-Saturday-01,Saturday,0.43301936040177014,50172.0,Rutherford - Zum Queen Station Stop WB,43.701541,-79.743109,1712441851.4897578,Rutherford - Zum Queen Station Stop WB -- TO -- Queen St E w/of Hansen Rd,-141,8250,Queen St E w/of Hansen Rd,43.69852,-79.746508,1712441909.839808
83,101_1-344_23866017-240304-MULTI-Saturday-01_248,101,1802,1-344,23866017-240304-MULTI-Saturday-01,Saturday,0.16934094083366671,8250.0,Queen St E w/of Hansen Rd,43.69852,-79.746508,1712441909.839808,Queen St E w/of Hansen Rd -- TO -- Queen St E btwn Hansen Rd & Kennedy Rd N,-141,8260,Queen St E btwn Hansen Rd & Kennedy Rd N,43.697342,-79.747843,1712442038.7930691
85,101_1-344_23866018-240304-MULTI-Saturday-01_186,101,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,0.6973746942229377,47145.0,Highway 50 s/of Fogal Rd,43.773092,-79.65221,1712440498.9187562,Highway 50 s/of Fogal Rd -- TO -- Queen St & Highway 50 - WB,-99,50150,Queen St & Highway 50 - WB,43.767099,-79.64965,1712440549.5566058
86,101_1-344_23866018-240304-MULTI-Saturday-01_186,101,1620,1-344,23866018-240304-MULTI-Saturday-01,Saturday,0.48778767894098907,50150.0,Queen St & Highway 50 - WB,43.767099,-79.64965,1712440549.5566058,Queen St & Highway 50 - WB -- TO -- The Gore Rd n/of Queen St,-99,17550,The Gore Rd n/of Queen St,43.766442,-79.655656,1712440454.5631707
